start,duration,end
2214.18,2.734,2216.913
2217.4,1.383,2218.783
2219.27,3.867,2223.1369999999997
2262.85,1.484,2264.334
2267.73,1.666,2269.396
2272.8,1.934,2274.7340000000004
2275.25,9.567,2284.817
2285.13,0.533,2285.663
2286.07,13.766,2299.8630000000003
2312.07,1.183,2313.253
2314.43,8.616999999999999,2323.0460000000003
2323.13,2.0,2325.13
2325.6,0.85,2326.45
2412.92,1.116,2414.036
2417.65,1.433,2419.083
2419.53,6.149,2425.679
2426.45,3.4170000000000003,2429.8630000000003
2430.18,0.951,2431.131
2431.2,11.934000000000001,2443.13
2443.2,1.117,2444.317
2457.13,0.632,2457.762
2458.33,0.583,2458.913
2460.45,0.684,2461.134
2461.2,0.683,2461.883
2462.18,3.8,2465.9790000000003
2466.45,3.5500000000000003,2469.996
2473.02,0.616,2473.636
2475.13,1.966,2477.096
2477.32,0.683,2478.003
2478.38,3.4669999999999996,2481.846
2482.05,0.867,2482.9170000000004
2483.13,0.533,2483.663
2484.95,0.55,2485.5
2486.25,1.417,2487.663
2489.13,1.516,2490.646
2501.3,0.6,2501.9
2503.13,4.733,2507.8630000000003
2521.92,1.6,2523.52
2525.13,0.716,2525.846
2526.12,1.5999999999999999,2527.713
2528.18,0.951,2529.131
2529.92,1.217,2531.137
2534.3,0.583,2534.8830000000003
2536.4,0.517,2536.917
2537.13,1.516,2538.647
2539.13,1.733,2540.8630000000003
2541.13,0.733,2541.8630000000003
2542.12,0.866,2542.986
2543.13,0.733,2543.8630000000003
2544.12,0.8,2544.92
2546.17,0.584,2546.754
2548.05,0.6,2548.65
2549.13,1.583,2550.713
2551.13,4.0,2555.137
2588.58,0.551,2589.131
2589.25,0.583,2589.833
2592.12,2.666,2594.779
2595.38,0.884,2596.264
2609.85,1.583,2611.433
2612.57,1.301,2613.8630000000003
2614.12,1.7,2615.813
2615.92,1.9500000000000002,2617.8630000000003
2618.18,0.951,2619.131
2622.18,0.617,2622.797
2624.38,0.751,2625.1310000000003
2625.22,3.917,2629.13
2629.2,3.517,2632.713
2634.28,0.584,2634.864
2636.25,0.684,2636.934
2637.13,0.666,2637.7960000000003
2638.2,0.517,2638.7169999999996
2639.13,1.516,2640.646
2641.13,2.0,2643.131
2647.12,0.566,2647.6859999999997
2649.2,0.783,2649.9829999999997
2650.45,3.484,2653.9300000000003
2667.72,1.633,2669.3529999999996
2670.45,2.2,2672.646
2673.98,1.867,2675.846
2676.45,0.684,2677.134
2691.7,16.717,2708.4199999999996
2750.22,1.233,2751.453
2752.45,15.383000000000001,2767.833
2796.32,0.817,2797.137
2797.45,17.484,2814.9300000000003
2911.27,1.216,2912.486
2913.33,10.849,2924.179
2987.98,0.934,2988.914
2992.07,1.916,2993.9860000000003
2994.5,18.45,3012.95
3015.2,1.9340000000000002,3017.13
3017.2,1.934,3019.137
3019.2,10.717,3029.913
3089.43,1.2,3090.6299999999997
3092.05,4.667,3096.713
3097.13,6.949,3104.079
